Ana Kategori;Alt Kategori;Marka;Ürün Adı;Fiyat;Resim URL;Sosyal Kanıt (Favori);Yıldız;Yorum Sayısı
"Çocuk";"Çocuk Elbise";"Chicsy Baby";"Kız Bebek Elbise Meyve Desenli Şapkalı Takım";"350,05 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1705/prod/QC_ENRICHMENT/20250705/23/c886a404-b978-387a-a11f-690da718d3f3/1_org_zoom.jpg";"En Çok Satan 4. Ürün";"4.3";"434"
"Çocuk";"Çocuk Elbise";"Chicsy Baby";"Kiraz Desenli Şapkalı Fiyonklu  Kız Bebek Elbisesi";"439,95 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1705/prod/QC_ENRICHMENT/20250705/23/7dc787f5-6796-3d8d-9f31-0d7b2f2a2a05/1_org_zoom.jpg";"En Çok Favorilenen 2. Ürün";"3";"1411"
"Çocuk";"Çocuk Elbise";"CRASSİ";"Kız Çocuk Elbise Tüllü";"349,99 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1708/prod/QC_PREP/20250710/14/cd3f6b29-fca5-317b-928d-14387572f76b/1_org_zoom.jpg";"3 günde 684 kişi ekledi!";"2";"44"
"Çocuk";"Çocuk Elbise";"CRASSİ";"Kız Çocuk Elbise Tüllü";"349,99 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1650/prod/QC/20250320/15/c9537f24-bb79-335a-ae55-189f55bdda4e/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"2";"531"
"Çocuk";"Çocuk Elbise";"ihvan online";"Tek Parça Pratik Başörtülü Çocuk Namaz Elbisesi Siyah";"463,73 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1535/product/media/images/prod/QC/20240910/17/392db439-7a00-3c2a-931b-61f79d27b801/1_org_zoom.jpg";"Yetkili Satıcı";"4.4";"107"
"Çocuk";"Çocuk Elbise";"Machetta";"Kız Çocuk Omuzdan Kurdele Detaylı Şeritli Kolsuz Elbise";"795,59 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1813/prod/QC_PREP/20260119/22/98cd2908-686a-39c7-801d-61ce2c2db1ee/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"2";"78"
"Çocuk";"Çocuk Elbise";"Aselin Kids";"Kız Çocuk Çiçek Desenli Kat Kat Yazlık Elbise Ve Hasır Şapka Takımı";"899 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1908/prod/QC_ENRICHMENT/20260513/14/31e3cf13-9d7c-306f-9520-87559466ace1/1_org_zoom.jpg";"Başarılı Satıcı";"N/A";"0"
"Çocuk";"Çocuk Elbise";"FURYATEX";"Kız Çocuk Kot Jile Salopet Elbise | Sevimli Ördek Tasarımlı Denim Model – Çanta Hediyeli";"1.499 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1794/prod/QC_PREP/20251129/03/fc30ee76-ef29-32f9-858e-4ff7688b154e/1_org_zoom.jpg";"En Çok Satan 2. Ürün";"4.4";"19"
"Çocuk";"Çocuk Elbise";"DUCA";"Parıltılı Pullu Crop Ve Kabarık Tütü Etek Ikili Takım";"1.631 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1813/prod/QC_ENRICHMENT/20260121/17/c5c0c71d-cdd2-3468-9104-88ed6b44c56c/1_org_zoom.jpg";"Başarılı Satıcı";"5";"23"
"Çocuk";"Çocuk Elbise";"uyguntarz";"Kız Çocuk Siyah Halter Yaka Kloş Elbise – Kolsuz Şık Yazlık Elbise (3-12 Yaş)";"349 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1855/prod/QC_ENRICHMENT/20260415/17/77d83fd4-2193-348b-a4fe-622d4ae7edf4/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"3.7";"43"
"Çocuk";"Çocuk Elbise";"Bondberro";"Müslin Kız Çocuk Elbisesi %100 Pamuk Organik";"799 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1709/prod/QC_ENRICHMENT/20250709/16/ba2b94aa-af0f-3ad7-aa8a-8341519f0143/1_org_zoom.jpg";"Başarılı Satıcı";"5";"88"
"Çocuk";"Çocuk Elbise";"NEWKİDS";"Kız Çocuk Elbise";"262,46 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1685/prod/QC/20250527/12/2036f8d9-3173-3b56-98c3-0f814063fbca/1_org_zoom.jpg";"Videolu Ürün";"3";"11"
"Çocuk";"Çocuk Elbise";"Minipodyum";"Kız Çocuk Elbise Yazlık Önden Düğmeli Yaka Detaylı";"909,25 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1000395/product/media/images/prod/PIM/20260511/05/0432b125-dc9f-4066-95fe-b144e35a9ec7/1_org_zoom.jpg";"Yetkili Satıcı";"5";"2"
"Çocuk";"Çocuk Elbise";"Keywest";"Büzgülü Kısa Kollu Elbise";"525,03 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1696/prod/QC_PREP/20250617/14/92d2848a-1ea9-3438-90e3-108e60da6092/1_org_zoom.jpg";"Birlikte Al Kazan";"4.3";"141"
"Çocuk";"Çocuk Elbise";"Chicsy Baby";"Şapkalı Pötikare Desenli Fiyonklu Esnek Kız Bebek Elbisesi";"398,55 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1817/prod/QC_ENRICHMENT/20260126/14/963feb49-0e6c-3b07-9df6-87a830c65e81/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"3";"419"
"Çocuk";"Çocuk Elbise";"Machetta";"Kız Çocuk Yeni Kurdele Baskılı Polo Yaka Mini Dar Elbise";"695,10 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1812/prod/QC_PREP/20260120/16/76fcd087-4ce3-36e7-8df3-15f0f3a620f3/1_org_zoom.jpg";"En Çok Satan 10. Ürün";"4.9";"21"
