title,imgUrl,stars,reviews,price,category_id,isBestSeller,boughtInLastMonth
"Erkek Fermuarlı Polo Gömlekler Örgü Kırışıksız Günlük Gömlekler Kısa/Uzun Kollu, Streç Fit Golf Gömlekleri, Yumuşak Kazak",https://m.media-amazon.com/images/I/61hAOaJxclL._AC_UL320_.jpg,4.5,0.0,1021.95,110,False,0
Erkek Iq Serisi Konfor Dokuma Uzun Kollu Yama Cepli Gömlek,https://m.media-amazon.com/images/I/718lafJhioL._AC_UL320_.jpg,4.6,0.0,3271.68,110,False,0
"Erkek Classic-Fit 7"" Kısa",https://m.media-amazon.com/images/I/811nEl5z5bL._AC_UL320_.jpg,4.4,0.0,1208.7,110,False,200
"Sıkıştırılmış Astarlı Erkek Yüzme Şortları 5"" Streç Plaj Şortları Fermuarlı Ceplerle Çabuk Kuruyan Sürtünmeyen Board Şortları",https://m.media-amazon.com/images/I/611UG7mMEFL._MCnd_AC_UL320_.jpg,4.8,0.0,1499.07,110,False,100
Moda Havalı Stil Erkek Plaj Şortları Yüzme Şortları Hızlı Kuruyan Günlük Polyester Cepli Şort S-XXL…,https://m.media-amazon.com/images/I/711dMRXjuRL._MCnd_AC_UL320_.jpg,4.6,0.0,1044.67,110,False,0
Erkek Kısa Kolsuz Üst Kısa Kollu Baskı Pamuklu Kısa Tişört Sıcak Gömlekler,https://m.media-amazon.com/images/I/61aBJ36MTtL._AC_UL320_.jpg,4.3,0.0,908.35,110,False,0
Erkek Premium Konfor Smokin Ceketi Özel Fit ve Dar Kesim,https://m.media-amazon.com/images/I/61VInZso7eL._AC_UL320_.jpg,4.4,0.0,5906.75,110,False,0
Erkek Boxer Kısa Düzenleme,https://m.media-amazon.com/images/I/71VDo9W8ykL._AC_UL320_.jpg,4.2,0.0,1362.75,110,False,0
"Erkek Dri-FIT Örgü Hibrit 9"" Antrenman Şortu",https://m.media-amazon.com/images/I/61JCmp9ob5L._AC_UL320_.jpg,4.3,91.0,1090.56,110,False,0
Erkek Siyah Şalvar Kot Hip Hop Bol kesim 90'lar Vintage Kargo Kot Pantolon Moda Dans Patenci Kaykay Pantolonları,https://m.media-amazon.com/images/I/61t+iuDF4HL._AC_UL320_.jpg,4.1,0.0,2026.17,110,False,0
SAXX Erkek İç Giyim - Droptemp Soğutma Pamuklu Boxer Kısa Fly 3Pk Dahili Kese Destekli - Erkek İç Giyim,https://m.media-amazon.com/images/I/81eCj1vXWXL._AC_UL320_.jpg,4.1,0.0,3905.57,110,False,0
CVC Bisiklet Yaka Kısa Kollu Erkek Tişört,https://m.media-amazon.com/images/I/81fZYFKuuHL._AC_UL320_.jpg,4.4,0.0,1086.92,110,False,0
Nightmare Before Christmas Jack ve Sally Erkek Boxer Şort İç Giyim,https://m.media-amazon.com/images/I/716HmcmskZL._AC_UL320_.jpg,4.7,1511.0,862.91,110,False,0
Erkek Uzun Kollu Günlük Konforlu Hırka Kazak Şal Yaka Yumuşak Kumaş,https://m.media-amazon.com/images/I/71XnygF5kqL._AC_UL320_.jpg,3.8,0.0,1590.4,110,False,0
"VISION SIX IMPRESSION National Parks Edition, Koşu, Yürüyüş ve Bisiklet Çorapları",https://m.media-amazon.com/images/I/71n0AU3t8JL._AC_UL320_.jpg,4.6,0.0,999.23,110,False,0
"Erkek Utilizer II Düz Kısa Kollu Gömlek, Nem Emici, Güneş Koruması",https://m.media-amazon.com/images/I/61ZNzRwE5wS._AC_UL320_.jpg,2.0,0.0,1360.93,110,False,0
Erkek Blazer Ceket Paisley Şal Yaka Takım Tek Düğme Çiçek Payetler Smokin Hafif Ceket Parti Düğün Slim Fit,https://m.media-amazon.com/images/I/81PZOPbsY6L._AC_UL320_.jpg,4.3,0.0,2998.59,110,False,0
Erkek Ovik Polar Kapşonlu,https://m.media-amazon.com/images/I/81NonVR79yL._AC_UL320_.jpg,4.4,0.0,7040.93,110,False,0
Erkek Thomas Shelby Film P B Siyah Yünlü Uzun Trençkot Ceket,https://m.media-amazon.com/images/I/61OALpCl8HL._AC_UL320_.jpg,4.5,0.0,3180.8,110,False,0
21 Çift Erkek Tüylü Çorap Toplu Kış Rahat Terlik Tutuculu Çorap Mikrofiber Peluş Uyku Kaymaz Hastane Çorabı Kadınlar için Yoga Hediye Çorap Erkekler,https://m.media-amazon.com/images/I/91eNxa1yGiL._AC_UL320_.jpg,4.7,0.0,1317.31,110,False,0
Erkek Büyük ve Uzun Efsanevi Normal Düz Jean,https://m.media-amazon.com/images/I/61J6M757QAL._AC_UL320_.jpg,0.0,0.0,1999.36,110,False,0
Erkekler için Uzun Kollu Güneş Korumalı UV UPF 50+ Cepli Tişörtler,https://m.media-amazon.com/images/I/71BdVg90PFL._AC_UL320_.jpg,4.7,0.0,1180.53,110,False,50
Erkek Uzun Hırka Önü Açık Dökümlü Cepli Hafif Kapüşonlu Kazak,https://m.media-amazon.com/images/I/615x9wcfN5L._AC_UL320_.jpg,4.2,3243.0,1589.95,110,False,0
Cepli Erkek Hafif Egzersiz Atletik Şortları,https://m.media-amazon.com/images/I/71JGyzYGZiL._AC_UL320_.jpg,4.4,0.0,1721.72,110,False,100
Erkek Polo Gömlekleri Çabuk Kuruyan Golf Gömlekleri UPF 50 Uzun ve Kısa Kollu Nem Emici Polo Gömlekleri,https://m.media-amazon.com/images/I/81sW9CLOVmL._AC_UL320_.jpg,4.5,0.0,1226.43,110,False,100
Erkek Hafta Sonu Çapraz Boya Dokulu Ekose Kısa Kollu Kamp Gömleği,https://m.media-amazon.com/images/I/61JO6Oc5dfL._AC_UL320_.jpg,0.0,0.0,853.36,110,False,0
Erkekler için Keten Hafif Uzun Waffle Kimono Spa Elbisesi,https://m.media-amazon.com/images/I/71a2QrwXhuL._AC_UL320_.jpg,4.5,0.0,1271.87,110,False,0
Erkek Comfortwash Konfeksiyon Boyalı Kapüşonlu Üst Kazak,https://m.media-amazon.com/images/I/71FjGDSf7hL._AC_UL320_.jpg,4.5,3683.0,1090.56,110,False,100
Knit-Rite Torso Interface Kollu Bisiklet Yaka - Coolmax,https://m.media-amazon.com/images/I/61ZoDNc9WmL._AC_UL320_.jpg,4.1,0.0,2089.79,110,False,0
"4 Paket: Fermuarlı Cepli ve Büzgülü Erkek 5"" Mesh Çabuk Kuruyan Koşu Şortu (Büyük ve Uzun Boylarda Mevcuttur)",https://m.media-amazon.com/images/I/91WgONoSA1L._AC_UL320_.jpg,4.1,0.0,1499.07,110,False,0
Work Erkek Mesabi Çelik Burunlu 83834 Bot,https://m.media-amazon.com/images/I/81X773C7a3L._AC_UL320_.jpg,4.3,0.0,7495.33,114,False,0
Climate X Erkek Ysc5 Kar Botu,https://m.media-amazon.com/images/I/711cuJtlaTL._AC_UL320_.jpg,4.3,0.0,1812.15,114,False,0
Erkek Wingtip Brogue Kiltie Monk Strap Loafer Elbise Ayakkabısı,https://m.media-amazon.com/images/I/713uHdBDwSL._AC_UL320_.jpg,4.4,0.0,6816.0,114,False,0
Erkek Collen Chelsea Botu,https://m.media-amazon.com/images/I/61W9iRweI-L._AC_UL320_.jpg,4.3,0.0,4544.0,114,False,0
Erkek Stag XE Kaykay Ayakkabısı,https://m.media-amazon.com/images/I/71eUFkNp1AL._AC_UL320_.jpg,4.8,19.0,2724.58,114,False,0
"Marauder Erkek Basketbol Ayakkabıları, Günlük Düşük Top Basketbol Spor Ayakkabıları, 7 - 15 Bedenler, Siyah, Beyaz, Kırmızı ve Gri",https://m.media-amazon.com/images/I/91KeYJEjy8L._AC_UL320_.jpg,5.0,0.0,4088.69,114,False,0
Erkek Rebelcross Spikeless Golf Ayakkabıları,https://m.media-amazon.com/images/I/71r+6QJUYNL._AC_UL320_.jpg,4.6,0.0,5639.1,114,False,0
